actors,grouping1,coloring1,grouping2,coloring2,grouping3,coloring3,grouping4,coloring4
BiomassFiredGenAggregate_in_GB,Biomass,#98C21E,Biomass,#98C21E,Biomass,#98C21E,Thermal_gen,#EA9A30
beccs_unit_2036,Biomass,#98C21E,Biomass,#98C21E,BECCS,#B6E13B,Thermal_gen,#EA9A31
drax_unit_2028,Biomass,#98C21E,DRAX,#6F8E16,DRAX,#6F8E16,Thermal_gen,#EA9A32
drax_unit_2030,Biomass,#98C21E,DRAX,#6F8E16,DRAX,#6F8E16,Thermal_gen,#EA9A33
drax_unit_2032,Biomass,#98C21E,DRAX,#6F8E16,DRAX,#6F8E16,Thermal_gen,#EA9A34
drax_unit_2034,Biomass,#98C21E,DRAX,#6F8E16,DRAX,#6F8E16,Thermal_gen,#EA9A35
elec_demand,Demand,#000000,Demand,#000000,Demand,#000000,Demand,#000000
v2g,EV,#393D48,V2G,#393D48,V2G,#393D48,V2G,#393D48
smart_charging,EV,#393D48,EV,#585E70,EV_smart,#585E70,EV_smart,#585E70
unmanaged_charging,EV,#393D48,EV,#585E70,EV_unmanaged,#642E2E,EV_unmanaged,#642E2E
Electrolyser_GB,Hydrogen,#FF0000,Electrolyser,#D60000,Electrolyser,#D60000,Electrolyser,#D60000
SmallHydrogenTurbinesAggregated_in_GB,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_500MW_2035_a,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_500MW_2035_b,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_500MW_2035_c,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_500MW_2035_d,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_500MW_2035_e,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_600MW_2030,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_600MW_2035,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_600MW_2038_a,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_600MW_2038_b,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
h2t_600MW_2039,Hydrogen,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000,H2_turbines,#FF0000
ic_BE_GB,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA
ic_DE_GB,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA
ic_DK_GB,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA
ic_FR_GB,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA
ic_IE_GB,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA
ic_NL_GB,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA
ic_NO_GB,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA,Interconnectors,#9A6AAA
HINKLEY_POINT_C_1,Nuclear,#EC6097,Nuclear_Large,#EC6097,Nuclear_large,#EC6097,Nuclear,#EC6097
HINKLEY_POINT_C_2,Nuclear,#EC6097,Nuclear_Large,#EC6097,Nuclear_large,#EC6097,Nuclear,#EC6097
SIZEWELL_B,Nuclear,#EC6097,Nuclear_Large,#EC6097,Nuclear_large,#EC6097,Nuclear,#EC6097
smr_1,Nuclear,#EC6097,Nuclear_SMR,#E5276F,Nuclear_SMR,#E5276F,Nuclear,#EC6097
smr_2,Nuclear,#EC6097,Nuclear_SMR,#E5276F,Nuclear_SMR,#E5276F,Nuclear,#EC6097
smr_3,Nuclear,#EC6097,Nuclear_SMR,#E5276F,Nuclear_SMR,#E5276F,Nuclear,#EC6097
smr_4,Nuclear,#EC6097,Nuclear_SMR,#E5276F,Nuclear_SMR,#E5276F,Nuclear,#EC6097
RenewableEnginesAggregate_in_GB,Renewables,#7FC9C9,Renewables_Engines,#45A7A5,Renewables_Engines,#45A7A5,Other Renewables,#45A7A5
SolarPV_in_GB,Renewables,#7FC9C9,Renewables,#7FC9C9,PV,#FFFF00,PV,#FFFF00
WindPower_in_GB,Renewables,#7FC9C9,Renewables,#7FC9C9,Wind,#7FC9C9,Wind,#7FC9C9
Battery_GB,storage,#A0C4B8,storage,#A0C4B8,Batteries,#A0C4B8,Batteries,#A0C4B8
CompressedAirStorage_GB,storage,#A0C4B9,storage,#A0C4B9,Compressed_air,#69D8FF,Compressed_air,#69D8FF
LiquidAirStorage_GB,storage,#A0C4B10,storage,#A0C4B10,Liquid_air,#00B0F0,Liquid_air,#00B0F0
PumpedHydroStorage_GB,storage,#A0C4B11,storage,#A0C4B11,Pumped_hydro_storage,#014C91,Pumped_hydro_storage,#014C91
ccgt_ccs_2029,Thermal_gen,#EA9A30,CCGT,#EA9A30,CCGT,#EA9A30,Thermal_gen,#EA9A30
ccgt_ccs_2034,Thermal_gen,#EA9A30,CCGT,#EA9A30,CCGT,#EA9A30,Thermal_gen,#EA9A30
ccgt_ccs_2039,Thermal_gen,#EA9A30,CCGT,#EA9A30,CCGT,#EA9A30,Thermal_gen,#EA9A30
large_unit_1,Thermal_gen,#EA9A30,Thermal_gen,#BF7513,Thermal_gen,#BF7513,Thermal_gen,#EA9A30
PETERHEAD_2,Thermal_gen,#EA9A30,Thermal_gen,#BF7513,Thermal_gen,#BF7513,Thermal_gen,#EA9A30
elec_backstop,Backstop,#000000,Backstop,#000000,Backstop,#000000,Backstop,#000000
fixed_dxlv_elec_demand,Demand,#000000,Demand,#000000,Non-heat demand Dx,#640064,Demand,#000000
fixed_tx_elec_demand,Demand,#000000,Demand,#000000,Non-heat demand Tx,#480048,Demand,#000000
HydrogenFromBiomassGasification_GB,H2_from_Biomass,#98C21E,H2_from_Biomass,#98C21E,H2_from_Biomass,#98C21E,H2_from_Biomass,#98C21E
SteamMethaneReformerWithCCS_GB,SMR_CCS,#EA9A30,SMR_CCS,#EA9A30,SMR_CCS,#EA9A30,SMR_CCS,#EA9A30
WindForHydrogen_GB,OffGrid_Wind,#7FC9C9,OffGrid_Wind,#7FC9C9,OffGrid_Wind,#7FC9C9,OffGrid_Wind,#7FC9C9
fixed_h2_demand,Demand,#000000,Demand,#000000,Demand,#000000,Demand,#000000
h2_backstop,Backstop,#000000,Backstop,#000000,Backstop,#000000,Backstop,#000000
h2_storage_GB,H2_Storage,#00B0F0,H2_Storage,#00B0F0,H2_Storage,#00B0F0,H2_Storage,#00B0F0
